,question,choice_list,choice_order
822,1 duck saw 4 elephants as it was going toward the river.Every elephant noticed 2 monkeys going to the river.Every monkey was carrying 1 dove in its paws.How many animals are going to the river?,"['Three animals are moving toward the river.', 'Seven animals are moving toward the river.', 'Four animals are moving toward the river.', ""Five animals are moving toward the river.Here's a detailed answer:1 duck noticed 4 elephants as it was going toward the river. Hence, 1 animal (the duck) is moving to the river.The 4 elephants saw 2 monkeys going walking toward the river. Now comes the tricky part. You may think that each elephant saw 2 different monkeys walking toward the river. So you would conclude that 4 x 2 = 8 monkeys were going to the river.However, the task does not explicitly say that each elephant saw DIFFERENT monkeys. In fact, you can logically infer that the elephants saw the SAME 2 monkeys. Hence, we only have 2 additional animals (monkeys) moving toward the river.Since every monkey was carrying 1 dove, the 2 monkeys were carrying 2 doves in total.Summing up, we have 1 duck, 2 monkeys, and 2 doves moving to the river. 1 + 2 + 2 = 5 animals.""]","[3, -1, -1, -1]"
823,What lives in a tiny house all alone?,"['A bird in a nest', 'A mouse in a hole', 'A baby chick in an egg.', 'A spider in a web']","[2, -1, -1, -1]"
824,"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?","['A mole', 'A worm.', 'A snail', 'A caterpillar']","[1, -1, -1, -1]"
825,Play me with a ball and bat. Or hear me sing in a tophat.What am I?,"['A bird', 'A magician', 'A baseball', 'A cricket.']","[3, -1, -1, -1]"
826,"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?","['A rock', 'A tree', 'A ghost', 'A fish.']","[3, -1, -1, -1]"
827,"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?","['A mosquito.', 'A vampire bat', 'A leech', 'A jellyfish']","[0, -1, -1, -1]"
828,"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?","['A hummingbird.', 'A butterfly', 'A mosquito', 'A dragonfly']","[0, -1, -1, -1]"
829,"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?","['A whale', 'An elephant.', 'A crocodile', 'A lion']","[1, -1, -1, -1]"
830,"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?","['A snake', 'A scorpion', 'A wasp', 'A spider.']","[3, -1, -1, -1]"
831,I plow and plow but never sow.What am I?,"['A plow horse', 'A pig.', 'A shovel', 'A tractor']","[1, -1, -1, -1]"
832,"I have four legs but no tail. Usually, I am heard only at night.What am I?","['A frog.', 'A bat', 'A cricket', 'A owl']","[0, -1, -1, -1]"
833,My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,"['An owl.', 'A moth', 'A wolf', 'A bat']","[0, -1, -1, -1]"
834,"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?","['A squirrel', 'A monkey', 'A spider.', 'A bird']","[2, -1, -1, -1]"
835,"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?","['A lion', 'A queen bee.', 'A dictator', 'A general']","[1, -1, -1, -1]"
836,"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?","['A armadillo', 'A crab', 'A turtle.', 'A pangolin']","[2, -1, -1, -1]"
837,"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?","['A snail.', 'A mountain', 'A turtle', 'A backpack']","[0, -1, -1, -1]"
838,"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?","['A reindeer.', 'A sleigh', 'A Christmas tree', 'A snowman']","[0, -1, -1, -1]"
839,I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,"['A shark', 'A whale.', 'A dolphin', 'A fish']","[1, -1, -1, -1]"
840,"When I walk, I jump, and when I stand, I sit.What animal am I?","['A rabbit', 'A grasshopper', 'A frog', 'A kangaroo.']","[3, -1, -1, -1]"
841,I peel like an onion yet remain whole.Which mystery creature am I?,"['A chameleon', 'A lizard.', 'A turtle', 'A snake']","[1, -1, -1, -1]"
842,I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,"['Hippopotamus', 'An elephant.', 'Rhino', 'Giraffe']","[1, -1, -1, -1]"
843,"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?","['A butterfly', 'A bumblebee', 'A hummingbird.', 'A dragonfly']","[2, -1, -1, -1]"
844,"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?","['A horse.', 'A donkey', 'A unicorn', 'A zebra']","[0, -1, -1, -1]"
845,"I am an animal, but my name makes you think of dessert or something you might put in your hair.What am I?","['A cake', 'A hairbrush', 'A moose.', 'A chocolate']","[2, -1, -1, -1]"
846,"I heard of an invading, vanquishing army sweeping across the land, liquid-quick; conquering everything, quelling resistance. With it came darkness, dimming the light. Humans hid in their houses, while outside spears pierced, shattering stone walls. Uncountable soldiers smashed into the ground, but each elicited life as he died; when the army had vanished, advancing northward, the land was green and growing, refreshed. What is it?","['A wildfire', 'A rainstorm.', 'A tornado', 'An earthquake']","[1, -1, -1, -1]"
847,"Big as a biscuit, deep as a cup, even a river can't fill it up. What is it?","['A kitchen strainer.', 'A swimming pool', 'A bathtub', 'A bucket']","[0, -1, -1, -1]"
848,"Runs smoother than any rhyme, loves to fall but cannot climb!","['Water', 'Fire', 'Sand', 'Wind']","[0, -1, -1, -1]"
849,People are hired to get rid of me.I'm often hiding under your bed.In time I'll always return you see.Bite me and you're surely dead.What am I?,"['Dirt', 'Mold', 'Cobwebs', 'Dust']","[3, -1, -1, -1]"
850,"Three lives have I.Gentle enough to soothe the skin,Light enough to caress the sky,Hard enough to crack rocks.","['Earth', 'Water', 'Wind', 'Fire']","[1, -1, -1, -1]"
851,"Of no use to oneYet absolute bliss to two.The small boy gets it for nothing.The young man has to lie for it.The old man has to buy it.The baby's right,The lover's privilege,The hypocrite's mask.To the young girl, faith;To the married woman, hope;To the old maid, charity.What am I?","['A smile', 'A handshake', 'A hug', 'A kiss.']","[3, -1, -1, -1]"
852,"A Japanese boat was stuck in water because of the storm, and after the storm, the captain was found dead. The engineer was busy fixing the signals, the cook was managing the wine barrels, the wife went to the room, and the maid was fixing the upside-down turned flag. Who killed the captain?","['The wife', 'The cook', 'The engineer', 'The maid. A Japanese flag is the same from all sides, with a red dot in the center of a white background.']","[3, -1, -1, -1]"
853,"A man was found dead while on his work trip abroad. The suspects were his colleagues Mason, Bob, Lisa, and Alex. On the calendar, 3, 4, 9, 10, 11 were written in blood. How should the detectives decode the numbers to find the killer?","['The numbers correspond to the number of times each suspect had interacted with the victim on the trip.', 'The numbers indicate the order in which the suspects were seen leaving the crime scene.', 'The numbers represent the dates on which the victim had important meetings with each of the suspects.', ""The numbers are those of the months whose first letters spell out 'Mason'.""]","[3, -1, -1, -1]"
854,"Dr. Miller was staying with his cousin, Alfred, in Alfred's lakeside cabin. They were setting up Alfred's will. Since Dr. Miller was Alfred's closest living relative, much of Alfred's estate was being left to him.One day, Alfred went to Dr. Miller very upset.""Doctor,"" he began, ""I have just found out that an old enemy is out to get me. He is coming very soon. Where will I go? Where can I hide? If he finds me, he will surely kill me. I do not have time to leave this cabin and hide in the woods.""Dr. Miller thought for a moment, and then grabbed a 5â€² long bamboo fishing pole, with a diameter the size of a quarter.""Alfred, follow me out to the lake. This lake is 4â€² deep. If you lie on the bottom of the lake and breathe through this pole, your enemy will never find you. I will be in the bulrushes with a shotgun, and I will shoot him when he comes. I will swim down to find you when he is gone.""Alfred thought that was a great idea and went down to the lake with the bamboo pole in his mouth.A few hours later, a ranger passed by. He found Alfred's body. Dr. Miller told the police of the circumstance, and that Alfred had probably panicked, and died.Police arrested Dr. Miller on the charge of murdering Alfred. Why?","['Alfred had a heart attack', 'Alfred drowned in the lake', ""The pole was 5â€² long, but only the size of a quarter. The first time he breathed in, he breathed oxygen. When he exhaled, the air could not travel 5â€² before he breathed in again. He was just breathing what he exhaled. Before long, all he was breathing was carbon dioxide. He died of CO2 poisoning. Dr. Miller was the one who told him to use the pole. However, he was knowledgeable about the human body and knew breathing only carbon dioxide would result in Alfred's death. His motive? The money in Alfred's will."", 'Alfred was attacked by the enemy']","[2, -1, -1, -1]"
855,Two men were playing tennis. They played five sets and each man won three sets.How can this be possible?,"['They were playing against each other but only won three sets each.', 'They were partners playing doubles.', 'They were playing a different sport, not tennis, where winning three sets each is possible.', 'They were playing against different opponents and both won three sets each.']","[1, -1, -1, -1]"
856,"Dead on the field lie ten soldiers in white, felled by three eyes, black as night. What happened?","['A deadly virus killed ten soldiers on the battlefield.', 'A sniper shot down ten soldiers in a war.', 'A bowling ball knocked down ten pins.', 'A lightning strike electrocuted ten soldiers during a storm.']","[2, -1, -1, -1]"
857,"Name the only sport in which the ball is always in possession of the team on defense, and the offensive team can score without touching the ball?","['Soccer', 'Baseball', 'Tennis', 'Basketball']","[1, -1, -1, -1]"
858,"Take a look at these sports carefully: golf, darts, tennis, cricket, football, badminton. Which of the following should come next: archery, boxing, squash, gymnastics, or baseball?","['baseball', 'Gymnastics (because it has 10 letters and the sports are in order of how many letters they have)', 'archery', 'boxing']","[1, -1, -1, -1]"
859,"These two sticks must always be kept close by. Because if one of them decides to go another direction, then you're sure to become much colder.","['Sled', 'Snowboard', 'Skis', 'Ice skates']","[2, -1, -1, -1]"
860,"When combined, these four periodic elements make up something that terrifies criminals?","['Carbon, Oxygen, Phosphorous & Sulfur (C + O + P + S)', 'Nitrogen', 'Hydrogen ', 'Potassium']","[0, -1, -1, -1]"
861,"I was once a massive star and soon I will be a brightly colored gas cloud. For now, I am a massive explosion. What am I?","['A Nebula', 'A Shooting Star', 'A Supernova.', 'A Solar Flare']","[2, -1, -1, -1]"
862,"A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. A few minutes later they both go out together and enjoy a wonderful afternoon together. How can this be?","['The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.', 'The woman was a filmmaker. She shot a scene for a movie where her husband was being shot', 'The woman was a magician. She shot her husband with a magic spell', 'The woman was a painter. She shot a photograph of her husband']","[0, -1, -1, -1]"
863,"Can you name three consecutive days without using the words Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, or Sunday?","['onday, Tuesday, Wednesda', 'ast, Present, Futur', 'ay 1, Day 2, Day ', 'Yesterday, Today, and Tomorrow.']","[3, -1, -1, -1]"
864,"Two trains enter a one-way tunnel at different ends exactly at 9:00, But they both come out the other end unharmed 5 minutes later.  How is this possible?","['One train entered the tunnel at 9:00 am and the other at 9:10 am.', 'One train entered the tunnel at 9:00 am and the other at 9:05 am.', 'One train entered the tunnel at 9:00 am and the other at 9:01 am.', 'One train entered the tunnel at 9:00 am and the other at 9:00 pm.']","[3, -1, -1, -1]"
865,"A plane with 50 passengers crashes into a mountain and everyone is killed, but there were only 49 bodies. How is this possible?","['Two of the passengers were siamese twins.', 'One of the passengers was a stowaway and their body was not accounted for.', 'The crash caused one of the bodies to be completely destroyed and unidentifiable.', 'The 50th passenger was a ghost and did not have a physical body.']","[0, -1, -1, -1]"
866,"I come once in a minute, twice in a moment, but never in a thousand years. What am I?","['The letter ""m"".', '""The number 1""', '""The word \'never\'""', '""The letter \'y\'""']","[0, -1, -1, -1]"
867,"I have lakes but no water. I have streets no cars. I have many places and borders, but I'm in one piece. What am I?","['A puzzle', 'A compass', 'A globe', 'A map.']","[3, -1, -1, -1]"
868,"You can hear me and control me, but never see me or touch me. What am I?","['Your emotions', 'Your thoughts', 'Your dreams', 'Your voice.']","[3, -1, -1, -1]"
869,If one train in New York is going 1206 mph and one in Florida goes 305 mph which one will get to Cuba first?,"['""The train in New York""', '""Both trains will get to Cuba at the same time""', '""The train in Florida""', ""Neither, trains don't travel over water.""]","[3, -1, -1, -1]"
870,"Before Mount Everest was discovered, what was the highest mountain on Earth?","['Kangchenjunga', 'K2', 'Mount Everest', 'Makalu']","[2, -1, -1, -1]"
871,How do rodents travel in the water?,"['By rat paddle', 'By vole canoe.', 'Through mouse swimming', 'Using hamster floaties']","[1, -1, -1, -1]"
872,"There was a man who went on a trip to Mexico. The whole, round trip took four days. But he went on Wednesday and came back on Wednesday. How could this be?","['He had a twin brother who went on the trip and returned on Wednesday.', ""His horse's name was Wednesday."", 'He traveled through a time warp and experienced a time loop.', 'He used a teleportation device that allowed him to travel instantly.']","[1, -1, -1, -1]"
873,"A doctor and a bus driver are both in love with the same woman - a beautiful girl named Monica. The bus driver had to go on a long bus trip that would last a week. Before he left, he gave Monica seven apples. Why?","['The bus driver thought Monica would enjoy the taste of the apples.', 'The bus driver wanted to give Monica a healthy snack for her journey.', 'Because an apple a day keeps the doctor away!', 'The bus driver wanted to show Monica his affection by giving her a gift before he left.']","[2, -1, -1, -1]"
874,This is a special kind of transportSometimes it's used in an emergencySometimes it's used by celebritiesThey are also able to fly and hoverAnd help rescue people lost at sea,"['A bicycle', 'A boat', 'A skateboard', 'A helicopter']","[3, -1, -1, -1]"
875,What connects two people but touches only one?,"['A phone call', 'A handshake', 'A wedding ring', 'A shared secret']","[2, -1, -1, -1]"
876,Look at this sequence from top to bottom. What is the next number in the sequence?      1     11     21   1211  111221  312211      ?,"['The next number should be 13112221. Why?Because each of these numbers describes the previous number. Starting with 1, the 2nd line is 11 (one one), then the 3rd line describes 11 as 21(two ones). Then the 4th line is 1211 which describes (one 2, one 1). And so forth...', '11122211', '13112211', '311221']","[0, -1, -1, -1]"
877,"What city's name can be described as: ""Before noon, gaze at water barrier.""","['Am-ster-dam (Netherlands)', '""Lon-don (United Kingdom)""', '""Ven-ice (Italy)""', '""Rio de Janeiro (Brazil)""']","[0, -1, -1, -1]"
878,You are lost in the woods and the path you are following forks into two: a path to the left and one to the right. One path will lead you to safety while the other will cause you to be lost forever.At the fork are two twin sisters who know which path is which. The sisters are identical in every way except one: one of the sisters always tells the truth while the other always lies.You can ask only one question and you don't know which sister is which. What can you say to them so you know which path to take?,"[""Ask one of the sisters which path their sister would tell you to take.Let's say the left hand path is the correct one to follow. The sister that lies knows their truthful sister would tell you the left hand path, so as they always lie they will tell you the right hand path.The honest sister knows their lying sister will tell you the right hand path and because they're honest, they will tell you this. So you should follow the opposite path to that which you are told, regardless of which sister tells you."", 'Ask one of the sisters which path they would take themselves.', 'Ask one of the sisters which path leads to danger.', 'Ask one of the sisters which path they think the other sister would choose.']","[0, -1, -1, -1]"
879,What 8 letter word can have a letter taken away and it still makes a word. Take another letter away and it still makes a word. Keep on doing that until you have one letter left. What is the word?,"['""The word is changing! As in - changing, hanging, hang, nag, na, a.""', '""The word is ending! As in - ending, ding, dig, di, I.""', '""The word is breaking! As in - breaking, baking, bing, big, bi, I.""', 'The word, ironically, is starting! As in - starting, staring, string, sting, sing, sin, in, I.']","[3, -1, -1, -1]"
880,"Someone has tripped the magical alarms in the Element Temple. When you and the other monks arrive on the scene, you know you have a disaster on your hands. Four young apprentices broke into the temple's inner chamber to steal the sacred element crystals. But when the alarm went off they panicked, and each of them swallowed a crystal. Can you determine who ate which crystal? Pause the video at 1:40 to see all the facts and think about the answer. If you give up, continue the video to see the solution!","['Ask the other monks for their opinions and come to a conclusion together.', 'Pause the video at 1:40 to see all the facts and think about the answer.', 'Continue the video for a solution.', 'Use a magical device to scan the apprentices and determine which crystal each one swallowed.']","[2, -1, -1, -1]"
881,"After year of war in the magic kingdom, the different species have decided to compete in dragon jousting instead of fighting. You are the recorder of these events, but you overslept and are late! How will you score each match?Pause the video at 2:10 to consider the problem and see the rules.","['""You should guess the solution based on the information given!""', '""You should ask someone who watched the video for the solution!""', 'Continue the video to see the solution!', '""You should search online for the solution!""']","[2, -1, -1, -1]"
882,"You have 3 boxes. One of them contains a prize. You were allowed to pick just one of them.You pick - and it's empty.With 2 boxes left, you now have one box in your hand and another box in front of you. If given the chance to exchange your box with the box in front of you, would you do it? Why, and why not?(The 'Google Riddles' are interview questions those who wish to get hired were asked).","[""In the beginning, with 3 boxes, things were simple. You had a chance of 1 in 3 to find the prize. NOW we know that one of the boxes is empty but you still made a guess of 1 in 3, now you have a new choice of 1 in 2. Your probability goes up and that is why you SHOULD CHANGE THE BOX.Don't feel bad if you disagree, this riddle has been hotly debated."", '""It doesn\'t matter whether I change the box or not. The probability of finding the prize is still the same', '""Yes', '""No']","[0, -1, -1, -1]"
883,"Today is more windy than yesterday, will a return flight take the same time, less time, or the same amount of time to complete?(The 'Google Riddles' are interview questions those who wish to get hired were asked).","['More Time.', 'Same Time', 'Less Time', 'Cannot Determine']","[0, -1, -1, -1]"
884,What does this message say? Can you decipher it?G T Y O R J O T E O U I A B G T,"['""Great Job You Got It""This riddle is named after Julius Caesar, who is thought to be first to use this cipher.Simply count the letters and arrange them in groups of the same number, here 4 will be easiest. It will be make 4 rows of 4. Then you put the rows one above the other and read up down, like so:G T Y OR J O TE O U IA B G TUntil you find the message.', '""Great Job You Got It""', '""Guess The Year Of The Old United Islands And Bridges Greatly Tall""', '""Good Try You Missed It""']","[0, -1, -1, -1]"
885,Can you make a word out of these two rows of matches without moving them?,"['""TOOL""', 'LOTTOExplanation:Just flip the two rows 1 and 2 vertically, you will find the word ""Lotto"".', '""LOOT"" ', '""LOOTED""']","[1, -1, -1, -1]"
886,"Look carefully at these graphs, can you find the actual height of the red bar?","['8 MetersIf we look at the green bar we see that its real height is 2/3 of its shadow. So that means we need to find 2 shadows length for the red bar, the uninterruped part and the one on the wall. Since we now know the formula for the floor shadow - real height is 2/3 of it - meaning the part that makes that shadow is 4 meters long. Then we have to add the part on the wall which is straight up, it has no formula so we just add those 4 meters on the wall to the 4 meters we got from multiplying 2/3 by 6 meters and we have 4 meters + 4 meters = 8 meterss', '6 Meters', '12 Meters', '10 Meters']","[0, -1, -1, -1]"
887,One evening there was a murder in a house where there lived a married couple with their 2 children - their son and daughter. One of these four people murdered one of the others. One of the members of the family witnessed the crime.The other one helped the murderer.These are the things we know for sure:1. The witness and the one who helped the murderer were not of the same gender.2. The oldest person and the witness were not of the same gender.3. The youngest person and the victim were not of the same gender.4. The one who helped the murderer was older than the victim.5. The father was the oldest member of the family.6. The murderer was not the youngest member of the family.Who was the murderer?,"['The son was the murderer.', 'The witness was the murderer.', ""The mother was the murderer.We know from fact number three that the youngest person wasn't the victim, and from the fourth fact we know the youngest person wasn't the helper and from fact number six  the youngest person was not the killer either. Therefore, the youngest person can only have been the witness. If we make up a chart there are now three possible combinations:Oldest person (father) H H MNext to oldest (mother) V M HNext to youngest (son) M V VYoungest (daughter) W W W(H = Helper ; V = Victim ; M = Murderer ; W = Witness)We can work out from fact number five that the father was the oldest and from fact two that the youngest person must have been the daughter. Therefore the next to the youngest must have been the son and the next to the oldest, the mother!"", 'The daughter was the murderer.']","[2, -1, -1, -1]"
888,"An old man, Dave, lives alone in a flat. Because of his age , he is not able to move comfortably and hence most of the things used to be delivered to his house.On Friday while delivering the mail, the postman feels something suspicious in the flat and try to look inside through the key hole and he saw the bloody body of the old man.Homicide arrived the scene. On the outside of flat, they find two bottles of warm milk, Tuesday newspaper, some unopened mails and some gifts.Homicide waste no time and find the murderer almost immediately. How did they do it, and who was the murderer?","[""he old man's neighbor was the murderer because they had a motive to harm him"", 'he postman was the murderer because he had access to the key and could have easily entered the flat', 'Newspaper delivery man was the murderer because of absence of Wednesday and Thursday missing newspaper.This indicates he already know that there is no one to read it.', 'he gifts were poisoned and the old man accidentally consumed them, resulting in his death']","[2, -1, -1, -1]"
889,"In a recreational activity, you are given four different jars of 2 liters, 4 liters, 6 liters and 8 liters respectively with an unlimited water supply. Then you are asked to measure exactly 5 liters of water using them.How will you do it?","['""You can pour 4 liters from the 8-liter jar into the 6-liter jar, then pour 1 liter from the 4-liter jar into the 6-liter jar. This will give you a total of 5 liters.""', ""It's impossible! You cannot measure an odd number of liters when we only have jars that hold odd amounts."", '""You can pour 2 liters from the 4-liter jar into the 6-liter jar, then pour 2 liters from the 6-liter jar into the 8-liter jar. Finally, pour 1 liter from the 4-liter jar into the 6-liter jar. This will give you a total of 5 liters.""', '""You can pour 2 liters from the 4-liter jar into the 6-liter jar, then pour 3 liters from the 6-liter jar into the 8-liter jar. Finally, pour 1 liter from the 4-liter jar into the 6-liter jar. This will give you a total of 5 liters.""']","[1, -1, -1, -1]"
890,A recipe requires 15 minutes to cook. You have a 7 minutes hourglass and an 11 minutes hourglass with you. How will you measure 15 minutes using them?,"['You turn the 7 minute hourglass and the 11 minute hourglass at the same time. When the 7 minute hourglass finishes, turn it again. When the 11 minute hourglass finishes, you know that 11 minutes have passed. Then, turn the 7 minute hourglass again and wait for it to finish. This will give you a total of 18 minutes, so you need to subtract 3 minutes to reach the desired 15 minutes.', ""You turn the 7 minute one and the 11 minutes one at the same time. When the 7 one finishes, turn it again. When the 11 one finishes, you know that 4 minutes have passed, with 4 minutes to get to the desired 15, all you need to do now is turn the 7 minute hourglass again since it counted 4 minutes, and when it runs out it'll be exactly 15 minutes."", 'You turn the 7 minute hourglass and the 11 minute hourglass at the same time. When the 7 minute hourglass finishes, turn it again. When the 11 minute hourglass finishes, you know that 7 minutes have passed. Then, turn the 7 minute hourglass again and wait for it to finish. This will give you a total of 14 minutes, so you need to wait for 1 more minute to reach the desired 15 minutes.', 'You turn the 7 minute hourglass and the 11 minute hourglass at the same time. When the 7 minute hourglass finishes, turn it again. When the 11 minute hourglass finishes, you know that 11 minutes have passed. Then, turn the 11 minute hourglass again and wait for it to finish. This will give you a total of 22 minutes, so you need to subtract 7 minutes to reach the desired 15 minutes.']","[1, -1, -1, -1]"
891,How many triangles are in this image?,"['""10 triangles""', '""25 triangles""', '20 triangles.', '""15 triangles""']","[2, -1, -1, -1]"
892,"A car thief, who had managed to evade the authorities in the past, unknowingly took the automobile that belonged to Detective Anderson. The detective wasted no time and spared no effort in discovering and carefully examining the available clues. He was able to identify four suspects with certainty that one of them was the culprit.The four make the statements below. From twelve of total statements, six are true and six false.Suspect A:1. C and I have met many times before today.2. B is guilty.3. The car thief did not know it was the Detective's car.Suspect B:1. D did not do it.2. D's third statement is false.3. I am innocent.Suspect C:1. I have never met A before today.2. B is not guilty.3. D knows how to drive.Suspect D:1. B's first statement is false.2. I do not know how to drive.3. A did it.Which one is the car thief?","['C is the car thief', 'D is the car thief', 'A is the car thief', ""Let's say 6 statements are lies.A's 1st statement and C's 1st statement negate each other. One of them is a lie.C's and D's negate each other. One of them is lying. Therefore, there are 4 additional false statements.Assume A is guilty. If so, A's second statement, B's second statement, and D's first statement are the additional lies.Assume D is guilty. If so, A's second statement, B's first statement, and D's third statement are lies. This also only makes five false statements. D did not do it.Assume C did it. If so, A's second statement, D's first and third statements are false. This again, makes only five false statements.After ruling out suspects A, C and D, B is the culprit. B's third statement, C's second statement, and D's first and third statements are the additional false statements. This adds up to six.""]","[3, -1, -1, -1]"
893,"There are two people in front of you holding guns.One is your best friend and the other is an impostor who looks just like him and knows all that he knows.You also have a gun and must shoot the impostor, if you get it wrong, the impostor will shoot you. If you get it right you and your friend are safe.What is the one question you can ask that will reveal the impostor?","['Ask them to drop the gun. The impostor will not do so.', 'Ask them to show you a unique identifying mark or tattoo. The impostor may not have the same mark or tattoo as your best friend.', 'Ask them to recite a childhood memory. The impostor may struggle to recall specific details or may not have the same emotional connection to the memory as your best friend.', 'Ask them about a secret only your best friend would know. The impostor may not be aware of this secret or may give an incorrect answer.']","[0, -1, -1, -1]"
894,,"['The key to this riddle is realizing that you do not have to pull the emergency switch in the first room, the entrance, and so that room will not lock down. You can leave it, and then return to it and go out the other door. And indeed this is exactly what you need to do so you can hit all 16 rooms and end in the exit room.Once you know to leave and reenter the first room, there are eight possible solutions to travel through all the rooms and end at the exit.  Because the first room is clear, you can backtrack through it to get back on the right track and pull the emergency switch in every room, saving the world from agonizing death by ancient virus.', 'The answer is ""The key to this riddle is realizing that you have to pull the emergency switch in every room except the last room. By doing so, you will activate a time-sensitive mechanism that prevents the ancient virus from spreading. Leaving and reentering the first room is irrelevant to solving the puzzle.""', 'The answer is ""The key to this riddle is realizing that you have to pull the emergency switch in every room, including the first room. By doing so, you will activate a hidden passage that allows you to access all 16 rooms and reach the exit. There is no need to leave and reenter the first room.""', 'The answer is ""The key to this riddle is realizing that you have to pull the emergency switch in every room except the first room. By skipping the first room, you can bypass a deadly trap and continue through the remaining 15 rooms. Leaving and reentering the first room is unnecessary.""']","[0, -1, -1, -1]"
895,Can you solve the temple riddle?,"[""Well since you know you are not one of the cursed you can go down a tunnel yourself but you want a good answer from the rest so you split the groups in three leaving two left. Let those two go down one tunnel and the other six go down two separate tunnels as well. When you all meet back 20 minutes later either you have found the tunnel or someone else. Now look at the rule majority rules. If the group of three has 2 people saying it wasn't down that tunnel then you should know it wasn't down that tunnel and one of the liars have been spotted. Same with the other group of three as well as the group of two. Judging by the answers the groups gave you, you should go down the right tunnel and head to safety while the spirits possessing the two people should leave and all is well."", '""Since you know you are not one of the cursed, you can go down a tunnel yourself and hope for the best. If you don\'t find the tunnel, you can always come back and try another one.""', '""Split the groups in three and let each group go down a different tunnel. After 20 minutes, gather everyone back and discuss their findings. Based on the majority opinion, choose the tunnel that most people believe is the correct one.""', '""Form three groups of equal size and have each group explore a different tunnel. After 20 minutes, regroup and share the information. Analyze the responses and choose the tunnel that seems to have the most consistent and reliable answers.""']","[0, -1, -1, -1]"
896,"A favorite by Teddy Roosevelt:""I talk, but I do not speak my mindI hear words, but I do not listen to thoughtsWhen I wake, all see meWhen I sleep, all hear meMany heads are on my shouldersMany hands are at my feetThe strongest steel cannot break my visageBut the softest whisper can destroy meThe quietest whimper can be heard.""","['A singer', 'An actor.', 'A writer', 'A politician']","[1, -1, -1, -1]"
897,"There are five houses in a row. Each house is painted a different color and has a person of a different nationality living in it. Each person drinks a different beverage, smokes a different type of cigar, and owns a different animal as a pet. Using these 15 clues, which person owns the pet fish?The Brit lives in the red house.The Swede has a pet dog.The Dane drinks tea.The green house is directly to the left of the white house.The person in the green house drinks coffee.The person who smokes Pall Mall has a pet bird.The person in the yellow house smokes Dunhill cigars.The person in the center house drinks milk.The Norwegian lives in the first house.The person who smokes Blends lives next to the person with the pet cat.The person with the pet horse lives next to the one who smokes Dunhill.The person who smokes BlueMaster drinks beer.The German smokes Prince.The Norwegian lives next to the blue house.The person who smokes Blends has a neighbor who drinks water.","['The German is the pet fish owner.', 'The Dane is the pet fish owner', 'The Swede is the pet fish owner', 'The Brit is the pet fish owner']","[0, -1, -1, -1]"
898,If there is a B in my hand - what is in my eye?,"['In your eye is beauty.This answer is based on the phrase: ""Beauty is in the eye of the beholder.""', 'In your eye is a contact lens', 'In your eye is a tear', 'In your eye is a bug']","[0, -1, -1, -1]"
899,"If 1+9+8=1, what is 2+8+9?","['11', '10.Why? Take the first letter of each spelled out number:One+Nine+Eight = ONETwo+Eight+Nine = TEN', '13', '12 ']","[1, -1, -1, -1]"
900,"Susan uses a toaster that has 2 slots. The toaster toasts one side of each piece of bread at a time, and it takes exactly 1 minute to do so.If Susan wants to make three pieces of toast, what is the LEAST amount of time she needs to toast them on both sides?","['4 minutes', '2 minutes', ""3 minutes.She puts two pieces in the toaster, toasting one side of each. Then she flips one of them, takes one out, and puts the completely untoasted piece into the toaster. Finally, she takes out the toasted piece and puts the two half-toasted pieces of bread into the toaster for a minute and she's done."", '5 minutes']","[2, -1, -1, -1]"
